STT,TÊN CỬA HÀNG,ĐỊA CHỈ,GIÁ BÁN,GIỜ ĐÓNG – MỞ,ĐÁNH GIÁ SAO,MÔ TẢ
1,Little Town - Cửa Hàng Quà Tặng Lưu Niệm,"10 Ba Tháng Hai, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam (cách trung tâm 180m) https://maps.app.goo.gl/26CrHpwhs9FWCjNb9",80.000 - 250.000 VNĐ,08:00 – 23:00,4.9,"Handmade, móc khóa, gấu bông, postcard"
2,Labata handmade shop,"20 Đường Trương Công Định, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam (cách trung tâm 250m) https://maps.app.goo.gl/k7uxhmYdoWMEfHFA7",100.000 – 300.000 VNĐ,08:00 – 22:30,4.9,"Handmade, túi vải, sổ tay"
3,Miue Healing Gifts Shop CS2,"16 Đường Trương Công Định, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam (cách trung tâm 220m) https://maps.app.goo.gl/nYmtMpyzeqdVT5pJ9",80.000 – 250.000 VNĐ,08:00 – 22:00,5.0,"Nến thơm, decor"
4,yayy gift studio,"Phan Bội Châu, Xuân Hương - Đà Lạt, Lâm Đồng 66122, Việt Nam (cách trung tâm 120m) https://maps.app.goo.gl/jpQQcBWCjur8dXXh6",100.000 – 300.000 VNĐ,09:30 - 20:00,5.0,"Văn phòng phẩm, decor"
5,Moss Đà Lạt,"5 Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam (cách trung tâm 150m) https://maps.app.goo.gl/vsHxfdvyrXfyjkPEA",80.000 – 250.000 VNĐ,07:00 – 00:00,4.5,"Phụ kiện, quà tặng"
6,Tiệm Quả Thông,"6 Nguyễn Văn Trỗi, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam (cách trung tâm 450m) https://maps.app.goo.gl/pTesWCeE4KLcKn6HA",50.000 – 180.000 VNĐ,08:00 – 23:00,4.7,"Móc khóa, postcard"
7,"Góc Của Nhỏ - cửa hàng quà tặng, lưu niệm Đà Lạt","9 Đường Trương Công Định, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam (cách trung tâm 650m) https://maps.app.goo.gl/Hv6Cfo2UMYm3XohU8",50.000 – 180.000 VNĐ,08:00 – 22:00,5.0,"Handmade, sổ tay, phụ kiện, văn phòng phẩm, đồ chơi"
8,Second Gift Shop - Quà Tặng và Phụ Kiện Đà Lạt,"102 Nguyễn Văn Trỗi, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam (cách trung tâm 300m) https://maps.app.goo.gl/pwgDah5Kqjkicf6Z9",80.000 – 250.000 VNĐ,09:00 – 22:30,5.0,"Phụ kiện, decor"
9,Tiệm len Dolly - Đà Lạt Handmade Gifts,"110 Đ. Cổ Loa, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam (cách trung tâm 300m) https://maps.app.goo.gl/44UafjHYkwvkrrWH7",100.000 – 300.000 VNĐ,"09:00 – 12:00, 
14:00 – 21:00",5.0,Đồ len handmade
10,Ở Đây Có Một Con Mèo,"23 Đường Trương Công Định, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam (cách trung tâm 1.2km) https://maps.app.goo.gl/4grn6DnF1SS1ttnz8",50.000 – 200.000 VNĐ,08:00 – 22:00,4.3,"Gấu bông, phụ kiện"
